00C	ANIMAS AIR PARK
5A1	NORWALK-HURON COUNTY
5B2	SARATOGA COUNTY ARPT
5B6	FALMOUTH AIRPARK
5C1	BOERNE STAGE FIELD
5G8	GREENSBURG JEANETTE REGIONAL ARPT
5KE	KETCHIKAN HARBOR -SPB
5KY3	WEST KENTUCKY AIRPARK
5LA4	SHELL MORGAN CITY HELIPORT
5T6	DONA ANA COUNTY ARPT AT SANTA TERESA
5TS9	BIG DUKES PLACE
5W5	TRIPLE W ARPT
60F	SEYMOUR MUNICIPAL
61FL	TAMPA GENERAL HOSPITAL HELIPORT
61S	COTTAGE GROVE STATE ARPT
63C	ADAMS COUNTY- LEGION FIELD
64OG	ANTONE RANCH ARPT
65G	MAPLE GROVE ARPT
66R	ROBERT R WELLS JR ARPT
67S	PRIEST LAKE USFS
6A2	GRIFFIN-SPALDING CO
6B6	MINUTE MAN AIR FIELD
6B9	SKANEATELES AERO DROME
6D6	GREENVILLE MUNICIPAL
6D9	IOSCO COUNTY
6E5	WILDER ARPT
6G5	BARNESVILLE-BRADFIELD ARPT
6K5	SISTERS EAGLE
6L4	LOGAN COUNTY ARPT
6M2	HORSEHOE BEND ARPT
6N5	EAST 34TH STREET HELIPORT
6OI8	CLEVELAND CLINIC FOUNDATION HELIPORT
6PA6	AIR HAVEN ARPT
6S8	LAUREL MUNICIPAL
70N	SPRING HILL ARPT
70S	MEAD FLYING SERVICE ARPT
72F	THROCKMORTON MUNICIPAL
74S	ANACORTES
75MO	CHILDREN S MERCY HOSPITAL HELIPORT
77MI	DAVIDS ARPT
77S	HOBBY FIELD ARPT
79J	SOUTH ALABAMA REGNL ARPT AT BILL BENTON FIELD
7B2	NORTHAMPTON ARPT
7D5	PRIEBE ARPT
7D6	FREEDOM AIR FIELD
7FL6	SPRUCE CREEK ARPT
7K5	KENMARE MUNICIPAL ARPT
7LS1	PHI VENICE HELIPORT
7LS3	LAKE PALOURDE BASE HELIPORT
7LS4	PETROL HELI INTRACOASTAL CITY
7M3	BEARCE ARPT
7M4	OSCEOLA MUNICIPAL ARPT
7M6	PARIS MUNICIPAL
7MI3	THRALL LAKE ARPT
7S3	STARKS TWIN OAKS
7V2	NORTH FORK VALLEY
80D	CLARE COUNTY ARPT
81OK	TWIN LAKES RANCH ARPT
820H	COMMUNITY HOSPITAL OF WILLIAM CO HELIPORT
83D	MACKINAC COUNTY ARPT
87I	YAZOO COUNTY ARPT
87MO	RICHTERS ARPT
