00C	ANIMAS AIR PARK
KCWA	CENTRAL WISCONSIN ARPT
KCWC	KICKAPOO DOWNTOWN ARPT
KCWF	CHENNAULT INTL ARPT
KCWS	DENNIS F CANTRELL FIELD ARPT
KCWV	CLAXTON-EVANS COUNTY ARPT
KCXO	LONE STAR EXECUTIVE ARPT
KCXP	CARSON ARPT
KCXY	CAPITAL CITY ARPT -PA
KCYO	PICKAWAY COUNTY MEMORIAL ARPT
KCYS	CHEYENNE REGIONAL ARPT/JERRY OLSON FIELD
KDAB	DAYTONA BEACH INTL
KDAG	BARSTOW-DAGGETT ARPT
KDAL	DALLAS LOVE FIELD ARPT
KDAN	DANVILLE REGIONAL ARPT
KDAY	JAMES M COX DAYTON INTL
KDBN	W H BUD BARRON ARPT
KDBQ	DUBUQUE REGIONAL ARPT
KDCA	RONALD REAGAN WASHINGTON NATIONAL ARPT
KDCU	PRYOR FIELD REGIONAL ARPT
KDDC	DODGE CITY REGIONAL ARPT
KDEC	DECATUR ARPT
KDED	DELAND MUNICIPAL ARPT-SIDNEY H TAYLOR FIELD
KDEN	DENVER INTL AIRPORT
KDEN*	DENVER STAPLETON ARPT
KDET	COLEMAN A YOUNG MUNICIPAL ARPT
KDEW	DEER PARK ARPT
KDFW	DALLAS/FORT WORTH INTL ARPT
KDGW	CONVERSE COUNTY ARPT
KDHN	DOTHAN REGIONAL ARPT
KDIJ	DRIGGS-REED MEMORIAL ARPT
KDIK	DICKINSON-THEODORE ROOSEVELT RGNL
KDKB	DE KALB TAYLOR MUNICIPAL ARPT
KDKK	CHAUTAUQUA COUNTY/DUNKIRK ARPT
KDKX	KNOXVILLE DOWNTOWN ISLAND ARPT
KDLH	DULUTH INTL ARPT
KDLL	BARABOO WISCONSIN DELLS ARPT
KDLS	COLUMBIA GORGE REGNL /THE DALLES MUNI ARPT
KDLZ	DELAWARE MUNICIPAL ARPT-JIM MOORE FIELD
KDMA	DAVIS MONTHAN AIR FORCE BASE
KDMN	DEMING MUNICIPAL ARPT
KDMW	CARROLL COUNTY REGNL ARPT/JACK B POAGE FIELD
KDNL	DANIEL FIELD ARPT
KDNS	DENISON MUNICIPAL ARPT
KDNV	VERMILION REGIONAL ARPT
KDOV	DOVER AIR FORCE BASE
KDPA	DUPAGE AIRPORT
KDRI	BEAUREGARD REGIONAL ARPT
KDRM	DRUMMOND ISLAND ARPT
KDRO	DURANGO-LA PLATA COUNTY ARPT
KDRT	DEL RIO INTL ARPT
KDSM	DES MOINES INTL
KDTL	DETROIT LAKES ARPT - WETHING FLD
KDTN	SHREVEPORT DOWNTOWN ARPT
KDTO	DENTON MUNICIPAL ARPT
KDTS	DESTIN-FORT WALTON BEACH ARPT
KDTW	DETROIT METRO WAYNE COUNTY ARPT
KDUG	BISBEE DOUGLAS INTL ARPT
KDUH	TOLEDO SUBURBAN ARPT
KDUJ	DUBOIS REGIONAL ARPT
KDVL	DEVILS LAKE REGIONAL ARPT
KDVO	GNOSS FIELD ARPT
KDVT	PHOENIX DEER VALLEY ARPT
KDWA	YOLO COUNTY ARPT
KDWH	DAVID WAYNE HOOKS MEMORIAL ARPT
KDWX	DIXON ARPT
KDXR	DANBURY MUNICIPAL ARPT
KDYA	DEMOPOLIS MUNICIPAL ARPT
KDYR	DYERSBURG REGIONAL ARPT
KDYT	SKY HARBOR
KDZB	HORSESHOE BAY RESORT ARPT
KEAR	KEARNEY REGIONAL ARPT
KEAT	PANGBORN MEMORIAL
KEAU	CHIPPEWA VALLEY REGIONAL ARPT
KECG	ELIZABETH CITY CGAS/REGIONAL ARPT
KECP	NORTHWEST FLORIDA BEACHES INTL
KEDC	AUSTIN EXECUTIVE ARPT
KEDE	NORTHEASTERN REGIONAL
KEDU	UNIVERSITY ARPT
KEDW	EDWARDS AIR FORCE BASE
KEEN	DILLANT-HOPKINS ARPT
KEFD	ELLINGTON FIELD ARPT
KEGE	EAGLE COUNTY REGIONAL
KEHA	ELKHART-MORTON COUNTY ARPT
KEHR	HENDERSON CITY-COUNTY ARPT
KEKA	MURRAY FIELD AIRPORT
KEKM	ELKHART MUNICIPAL ARPT
KEKO	ELKO REGIONAL ARPT
KEKX	ADDINGTON FIELD ARPT
KEKY	BESSEMER ARPT
KELM	ELMIRA/CORNING REGIONAL ARPT
KELP	EL PASO INTL ARPT
KELY	ELY AIRPORT/YELLAND FIELD
KEMT	EL MONTE ARPT
KENV	WENDOVER ARPT
KENW	KENOSHA REGIONAL ARPT
KEOK	KEOKUK MUNICIPAL ARPT
KEOP	PIKE COUNTY ARPT
KEOS	NEOSHO HUGH ROBINSON ARPT
KEQA	ELDORADO/CAPTAIN JACK THOMAS MEMORIAL ARPT
KEQY	CHARLOTTE-MONROE  EXECUTIVE ARPT
KERI	ERIE INTL ARPT-TOM RIDGE FIELD
KERR	ERROL ARPT
KERV	KERVILLE MUNI ARPT/LOUIS SCHREINER FIELD
KESC	DELTA COUNTY ARPT
KESF	ESLER REGIONAL ARPT
KESN	EASTON/NEWNAM FIELD ARPT
KEST	ESTHERVILLE MUNICIPAL ARPT
KETB	WEST BEND MUNICIPAL ARPT
KEUF	WEEDON FIELD ARPT
KEUG	MAHLON SWEET FLD
KEVB	NEW SMYRNA BEACH MUNICIPAL ARPT
KEVV	EVANSVILLE REGIONAL
KEVW	EVANSTON-UINTA COUNTY BURNS FIELD
KEVY	SUMMIT AIRPORT
KEWB	NEW BEDFORD REGIONAL ARPT
KEWK	NEWTON CITY/COUNTY ARPT
KEWN	COASTAL CAROLINA REGIONAL ARPT
KEWR	NEWARK LIBERTY INTL ARPT
KEXX	DAVIDSON COUNTY ARPT
KEYE	EAGLE CREEK AIRPARK
KEYW	KEY WEST INTL ARPT
KEZF	SHANNON AIRPORT
KEZM	HEART OF GEORGIA REGIONAL ARPT
KEZS	SHAWANO MUNICIPAL ARPT
KFAM	FARMINGTON REGIONAL
KFAR	HECTOR INTERNATIONAL
KFAT	FRESNO YOSEMITE INTL
KFAY	FAYETTVILLE REGNL ARPT/GRANNIS FIELD
KFCI	CHESTERFIELD COUNTY ARPT
KFCM	FLYING CLOUD ARPT
KFDK	FREDERICK MUNICIPAL ARPT
KFDR	FREDERICK REGIONAL ARPT
KFDW	FARIFIELD COUNTY ARPT
KFDY	FINDLAY ARPT
KFES	FESTUS MEMORIAL ARPT
KFFA	FIRST FLIGHT
KFFC	ATLANTA REGIONAL ARPT - FALCON FIELD
KFFM	FERGUS FALLS MUNI ARPT-EINAR MICKELSON FIELD
KFFO	WRIGHT-PATTERSON AIR FORCE BASE
KFFZ	FALCON FIELD ARPT
KFHB	FERANDINA BEACH MUNICIPAL ARPT
KFHR	FRIDAY HARBOR ARPT
KFHU	SIERRA VISTA MUNI ARPT-LIBBY ARMY AIRFIELD
KFIN	FLAGLER COUNTY ARPT
KFIT	FITCHBURG  MUNICIPAL ARPT
KFKL	VENANGO REGIONAL
KFLD	FOND DU LAC COUNTY ARPT
KFLG	FLAGSTAFF PULLIAM
KFLL	FORT LAUDERDALE/HOLLYWOOD INTL
KFLO	FLORENCE REGIONAL
KFLP	MARION COUNTY REGIONAL ARPT
KFLV	SHERMAN ARMY AIRFIELD
KFLY	MEADOW LAKE ARPT
KFME	TIPTON ARPT
KFMH	CAPE COD COAST GUARD AIR STATION
KFMN	FOUR CORNERS REGIONAL
KFMY	PAGE FIELD ARPT
KFNB	BRENNER FIELD ARPT
KFNL	FORT COLLINS-LOVELAND MUNI ARPT
KFNT	BISHOP INTL ARPT
KFOD	FORT DODGE REGIONAL
KFOE	FORBES FIELD AIRPORT
KFOK	FRANCIS S GABRESKI ARPT
KFPK	FITCH H BEACH ARPT
KFPR	ST. LUCIE COUNTY INTL ARPT
KFRG	REPUBLIC AIRPORT
KFRH	FRENCH LICK MUNICIPAL ARPT
KFRM	FAIRMONT MUNICIPAL ARPT
KFSD	JOE FOSS FIELD ARPT
KFSM	FORT SMITH REGIONAL ARPT
KFSU	FORT SUMNER MUNICIPAL ARPT
KFTG	FRONT RANGE ARPT
KFTW	FORT WORTH MEACHAM INTL ARPT
KFTY	FULTON COUNTY ARPT - BROWN FIELD
KFUL	FULLERTON MUNICIPAL ARPT
KFVX	FARMVILLE REGIONAL ARPT
KFWA	FORT WAYNE INTL
KFWQ	ROSTRAVER
KFWS	FORT WORTH SPINKS ARPT
KFXE	FORT LAUDERDALE EXECUTIVE ARPT
KFYJ	MIDDLE PENINSULA REGIONAL ARPT
KFYV	DRAKE FIELD ARPT
KFZY	OSWEGO COUNTY
KGAD	NORTHEAST ALABAMA REGIONAL ARPT
KGAF	HUTSON FIELD ARPT
KGAI	MONTGOMERY CO AIRPARK
KGAO	SOUTH LAFOURCHE LEONARD MILLER  JR ARPT
KGAS	GALLIA-MEIGS REGIONAL ARPT
KGBD	GREAT BENT MUNICIPAL
KGCC	GILLETTE-CAMPBELL COUNTY ARPT
KGCD	GRANT COUNTY REGNL ARPT/OGILVIE FIELD
KGCK	GARDEN CITY REGIONAL
KGCN	GRAND CANYON NATIONAL
KGDB	GRANITE FALLS MUNICIPAL ARPT
KGDV	DAWSON COMMUNITY ARPT
KGED	SUSSEX COUNTY ARPT
KGEG	SPOKANE INTERNATIONAL
KGEU	GLENDALE MUNICIPAL ARPT
KGEV	ASHE COUNTY
KGFK	GRAND FORKS INTL
KGFL	FLOYD BENNETT MEMORIAL
KGGE	GEORGETOWN COUNTY ARPT
KGGG	EAST TEXAS REGIONAL ARPT
KGGW	WOKAL FIELD/GLASGOW INTL ARPT
KGHG	MARSHFIELD MUNI ARPT-GEORGE HARLOW FIELD
KGHM	CENTERVILLE MUNICIPAL ARPT
KGHW	GLENWOOD MUNICIPAL ARPT
KGIC	IDAHO COUNTY ARPT
KGIF	WINTER HAVENS GILBERT ARPT
KGJT	GRAND JUNCTION REGIONAL ARPT
KGKJ	PORT MEADVILLE ARPT
KGKY	ARLINGTON MUNICIPAL ARPT -TX
KGLD	RENNER FLD/GOODLAND MUNI ARPT
KGLE	GAINESVILLE MUNICIPAL ARPT
KGLH	GREENVILLE MID-DELTA ARPT
KGLR	GAYLORD REGIONAL ARPT
KGLS	SCHOLES INTL ARPT AT GALVESTON
KGLW	GLASGOW MUNICIPAL ARPT
KGMU	GREENVILLE DOWNTOWN ARPT
KGNF	GRENADA MUNICIPAL ARPT
KGNT	GRANT-MILAN MUNI ARPT
KGNV	GAINESVILLE REG ARPT
KGON	GROTON-NEW LONDON AR
KGOO	NEVADA COUNTY AIR PARK
KGPH	MIDWEST NATIONAL AIR CENTER ARPT
KGPI	GLACIER PARK INTL
KGPT	GULFPORT-BILOXI INTL APRT
KGPZ	GRAND RAPIDS/ITASCA COUNTY ARPT-GORDON NEWSTROM FIELD
KGRB	AUSTIN STRAUBEL INTL
KGRD	GREENWOOD COUNTY ARPT
KGRI	CENTRAL NEBRASKA REGIONAL
KGRK	KILLEEN/FT HOOD REGIONAL
KGRR	GERALD R. FORD INTL ARPT
KGSH	GOSHEN MUNICIPAL ARPT
KGSO	PIEDMONT TRIAD INTL
KGSP	GREENVILLE-SPARTANBURG INTL
KGTB	WHEELER-SACK ARMY AIRFIELD
KGTE	QUINN FIELD ARPT
KGTF	GREAT FALLS INTL
KGTR	GOLDEN TRIANGLE REGIONAL
KGTU	GEORGETOWN MUNICIPAL ARPT
KGUC	GUNNISON-CRESTED BUTTE REGNL ARPT
KGUY	GUYMON MUNICIPAL ARPT
KGVL	LEE GILMER MEMORIAL ARPT
KGVQ	GENESEE COUNTY ARPT
KGVT	MAJORS ARPT
KGVW	RICHARDS-GEBAUR AFB
KGWB	DE KALB COUNTY ARPT
KGWO	GREENWOOD-LEFLORE ARPT
KGWR	GWINNER-ROGER MELROE FIELD ARPT
KGXY	GREELEY-WELD COUNTY ARPT
KGYH	DONALDSON CENTER ARPT
KGYI	NORTH TEXAS REGNL ARPT/PERRIN FIELD
KGYR	PHOENIX GOODYEAR ARPT
KGYY	GARY/CHICAGO INTL ARPT
KHAF	HALF MOON BAY
KHAI	THREE RIVERS MUNICIPAL ARPT
KHAO	BUTLER COUNTY REGIONAL
KHBV	JIM HOGG COUNTY ARPT
KHBZ	HEBER SPRINGS MUNICIPAL ARPT
KHCD	HUTCHINSON MUNICIPAL-BUTLER FLD
KHDC	HAMMOND NORTHSHORE REGIONAL ARPT
KHDN	YAMPA VALLEY
KHEF	MANASSAS REGNL ARPT/HARRY P. DAVIS FIELD
KHEG	HERLONG RECREATIONAL ARPT
KHEZ	HARDY-ANDERS FLD NATCHEZ-ADAMS CNTY
KHFD	HARTFORD-BRAINARD ARPT
KHFJ	MONETT MUNICIPAL ARPT
KHFY	GREENWOOD MUNICIPAL ARPT
KHGR	HAGERSTOWN REGNL ARPT-RICHARD A HENSON FIELD
KHHR	JACK NORTHROP FIELD/HAWTHORNE MUNI ARPT
KHIB	RANGE REGIONAL ARPT
KHIE	MOUNT WASHINGTON RGNL ARPT
KHIF	HILL AIR FORCE BASE
KHIG	HIGGINSVILLE INDUSTRIAL MUNICIPAL ARPT
KHII	LAKE HAVASU CITY ARPT
KHIO	PORTLAND-HILLSBORO ARPT
KHKA	BLYTHEVILLE MUNICIPAL ARPT
KHKS	HAWKINS FIELD ARPT
KHKY	HICKORY REGIONAL ARPT
KHLG	WHEELING OHIO COUNTY ARPT
KHLN	HELENA REGIONAL
KHMT	HEMET-RYAN ARPT
KHNB	HUNTINGBURG ARPT
KHOB	LEA COUNTY REGIONAL ARPT
KHON	HURON REGIONAL ARPT
KHOT	MEMORIAL FIELD
KHOU	WILLIAM P HOBBY ARPT
KHPN	WESTCHESTER COUNTY ARPT
KHQM	BOWERMAN ARPT
KHQU	THOMSON-MCDUFFIE COUNTY ARPT
KHQZ	MESQUITE METRO ARPT
KHRL	VALLEY INTL
KHRO	BOONE COUNTY ARPT
KHSA	STENNIS INTL ARPT
KHSD	SUNDANCE AIRPARK
KHST	HOMESTEAD AIR RESERVE BASE
KHSV	HUNTSVILLE INTL ARPT-CARL T JONES FIELD
KHTO	EAST HAMPTON ARPT
KHTS	TRI-STATE ARPT/MILTON J. FERGUSON FIELD
KHUA	REDSTONE ARMY AIRFIELD
KHUF	TERRE HAUTE INTL ARPT-HULMAN FIELD
KHUM	HOUMA-TERREBONNE ARPT
KHUT	HUTCHINSON MUNICIPAL
KHVN	TWEED-NEW HAVEN ARPT
KHVR	HAVRE CITY-COUNTY ARPT
KHWD	HAYWARD EXECUTIVE ARPT
KHWO	NORTH PERRY ARPT
KHWY	WARRENTON-FAUQUIER
KHXD	HILTON HEAD ISLAND
KHYA	BARNSTABLE MUNI ARPT-BOARDMAN/POLANDO FLD
KHYI	SAN MARCOS MUNICIPAL ARPT
KHYR	SAWYER COUNTY ARPT
KHYS	HAYS REGIONAL
KHZY	NORTHEAST OHIO REGIONAL ARPT
KIAB	MCCONNELL AIR FORCE BASE
KIAD	WASHINGTON DULLES INTL ARPT
KIAG	NIAGARA FALLS INTL
KIAH	GEORGE BUSH INTERCONTINENTAL/ HOUSTON ARPT
KICL	SCHENCK FIELD ARPT
KICT	WICHITA DWIGHT D EISENHOWER NATL ARPT
KIDA	IDAHO FALLS REGIONAL ARPT
KIDP	INDEPENDENCE MUNICIPAL ARPT
KIFA	IOWA FALLS MUNICIPAL ARPT
KIFP	LAUGHLIN/BULLHEAD INTL ARPT
KIGM	KINGMAN
KIGQ	LANSING MUNICIPAL ARPT
KIGX	HORACE WILLIAMS ARPT
KIJD	WINDHAM ARPT
KIKG	KLEBERG COUNTY ARPT
KIKK	GREATER KANKAKEE ARPT
KIKV	ANKENY REGIONAL
KIKW	JACK BARSTOW
KILE	SKYLARK FIELD
KILG	NEW CASTLE COUNTY
KILL	WILLMAR MUNICIPAL-J RICE
KILM	WILMINGTON INTL
KILN	WILMINGTON AIR PARK
KIMM	IMMOKALEE REGIONAL ARPT
KIMT	FORD ARPT
KIND	INDIANAPOLIS INTL ARPT
KINF	INVERNESS ARPT -FL
KINL	FALLS INTL ARPT
KINT	SMITH REYOLDS ARPT
KIPL	IMPERIAL COUNTY ARPT
KIPT	WILLIAMSPORT REGIONAL ARPT
KIRK	KIRKSVILLE REGIONAL
KIRS	KIRSCH MUNICIPAL ARPT
KISM	KISSIMMEE GATEWAY ARPT
KISN	SLOULIN FLD INTL ARPT
KISO	KINSTON REGIONAL JETPORT AT STALLINGS FIELD
KISP	LONG ISLAND MAC ARTHUR
KISW	ALEXANDER FIELD SOUTH WOOD COUNTY ARPT
KISZ	CINCINNATI-BLUE ASH ARPT
KITH	ITHICA TOMPKINS REGIONAL ARPT
KITR	KIT CARSON COUNTY
KIWA	PHOENIX-MESA GATEWAY
KIWD	GOGEBIC-IRON COUNTY ARPT
KIWH	WABASH MUNICIPAL ARPT
KIWS	WEST HOUSTON ARPT
KIXD	NEW CENTURY AIRCENTER ARPT
KIZG	EASTERN SLOPES REGIONAL ARPT
KJAC	JACKSON HOLE
KJAN	JACKSON EVERS INTL
KJAS	JASPER COUNTY ARPT-BELL FIELD
KJAX	JACKSONVILLE INTL
KJBR	JONESBORO MUNICIPAL ARPT
KJEF	JEFFERSON CITY MEMORIAL ARPT
KJFK	JOHN F KENNEDY INTL
KJGG	WILLIAMSBURG-JAMESTOWN ARPT
KJHW	CHAUTAUQUA COUNTY/JAMESTOWN ARPT
KJKA	JACK EDWARDS ARPT
KJLN	JOPLIN REGIONAL
KJMS	JAMESTOWN REGIONAL
KJNX	JOHNSTON COUNTY ARPT
KJQF	CONCORD REGIONAL ARPT
KJRB	DOWNTOWN MANHATTAN/WALL ST HELIP
KJSO	CHEROKEE COUNTY ARPT
KJST	JOHN MURTHA JOHNSTOWN-CAMBRIA COUNTY ARPT
KJSY	JOSEPH STATE
KJVL	SOUTHERN WISCONSIN REGIONAL ARPT
KJVY	CLARK COUNTY REGIONAL ARPT -IN
KJWN	JOHN C TUNE ARPT
KJXI	FOX STEPHENS FIELD-GILMER MUNI ARPT
KJXN	JACKSON COUNTY ARPT-REYNOLDS FIELD
KJYO	LEESBURG EXECUTIVE ARPT
KJZI	CHARLESTON EXECUTIVE ARPT
KJZP	PICKENS COUNTY ARPT -GA
KKLS	SOUTHWEST WASHINGTON REGIONAL ARPT
KLAA	LAMAR MUNICIPAL ARPT
KLAF	PURDUE UNIV ARPT
KLAL	LAKELAND LINDER REGIONAL
KLAN	CAPITAL REGION INTL ARPT
KLAR	LARAMIE REGIONAL
KLAS	MC CARRAN INTL ARPT
KLAW	LAWTON-FORT SILL REGIONAL ARPT
KLAX	LOS ANGELES INTL
KLBB	LUBBOCK PRESTON SMITH INTL ARPT
KLBE	ARNOLD PALMER REGIONAL
KLBF	NORTH PLATTE REGNL ARPT LEE BIRD FIELD
KLBL	LIBERAL MID-AMERICA REGNL ARPT
KLBO	FLOYD W. JONES LEBANON ARPT
KLBX	TEXAS GULF COAST REGIONAL ARPT
KLCG	WAYNE MUNI ARPT/STAN MORRIS FIELD
KLCH	LAKE CHARLES REGIONAL
KLCI	LACONIA MUNICIPAL
KLCK	RICKENBACKER INTL
KLCQ	LAKE CITY MUNICIPAL ARPT
KLDJ	LINDEN AIRPORT
KLDM	MASON COUNTY ARPT -MI
KLEB	LEBANON MUNICIPAL ARPT -NH
KLEE	LEESBURG INTL ARPT
KLEW	AUBURN-LEWISTON MUNICIPAL
KLEX	BLUE GRASS ARPT
KLFI	LANGLEY AIR FORCE BASE
KLFK	ANGELINA COUNTY
KLFT	LAFAYETTE REGIONAL
KLGA	LA GUARDIA ARPT
KLGB	LONG BEACH-DAUGH FLD
KLGC	LAGRANGE-CALLAWAY ARPT
KLGD	LA GRANDE/UNION COUNTY ARPT
KLGU	LOGAN-CACHE ARPT
KLHM	LINCOLN REGNL ARPT/KARL HARDER FLD
KLHX	LA JUNTA MUNICIPAL ARPT
KLIT	BILL AND  HILLARY CLINTON NATL ARPT/ADAMS FIELD
KLKR	LANCASTER COUNTY-MC WHIRTER FLD ARPT
KLKU	LOUISA COUNTY ARPT/FREEMAN FLD
KLLQ	MONTICELO MUNICIPAL ARPT/ELLIS FIELD
KLLR	LITTLE RIVER ARPT
KLMO	VANCE BRAND ARPT
KLMT	KLAMATH FALLS INTL
KLNA	PALM BEACH COUNTY PARK ARPT
KLNC	LANCASTER REGIONAL ARPT
KLNK	LINCOLN ARPT
KLNL	KINGS LAND O LAKES ARPT
KLNN	WILLOUGHBY LOST NATION MUNI ARPT
KLNS	LANCASTER ARPT -PA
KLOM	WINGS FIELD ARPT
KLOT	LEWIS UNIVERSITY ARPT
KLOU	BOWMAN FIELD
KLOZ	LONDON-CORBIN ARPT-MAGEE  FIELD
KLPR	LORAIN COUNTY REGIONAL ARPT
KLQK	PICKENS COUNTY ARPT -SC
KLRD	LAREDO INTL
KLRO	MT PLEASANT REGL ARPT-FAISON FIELD
KLRU	LAS CRUCES INTL
KLRY	LAWRENCE SMITH MEMORIAL ARPT
KLSE	LA CROSSE MUNICIPAL AIRPORT
KLUG	ELLINGTON AIRPORT
KLUK	CINCINNATI MUNI ARPT-LUNKEN FIELD
KLUL	HESLER-NOBLE FIELD ARPT
KLVJ	PEARLAND REGIONAL ARPT
KLVK	LIVERMORE MUNICIPAL ARPT
KLVN	AIRLAKE ARPT
KLWB	GREENBRIER VALLEY ARPT
KLWC	LAWRENCE MUNICIPAL  ARPT -KS
KLWD	LAMONI MUNICIPAL ARPT
KLWM	LAWRENCE MUNICIPAL ARPT -MA
KLWS	LEWISTON-NEZ PERCE CO ARPT
KLXT	LEES SUMMIT MUNICIPAL ARPT
KLYH	LYNCHBURG REGNL ARPT/PRESTON GLENN FIELD
KLZU	GWINNETT COUNTY - BRISCOE FIELD
KMAC	MACON DOWNTOWN ARPT
KMAF	MIDLAND INTL
KMAI	MARIANNA MUNICIPAL ARPT
KMBL	MANISTEE COUNTY-BLACKER ARPT
KMBO	BRUCE CAMPBELL FIELD
KMBS	MBS INTL
KMBT	MURFREESBORO MUNICIPAL ARPT
KMCB	MC COMB -PIKE COUNTY ARPT
KMCC	MC CLELLAN AIRFIELD
KMCD	MACKINAC ISLAND ARPT
KMCE	MERCED MUNICIPAL
KMCF	MACDILL AIR FORCE BASE
KMCI	KANSAS CITY INTL
KMCK	MC COOK BEN NELSON REGNL ARPT
KMCN	MIDDLE GEORGIA REGIONAL
KMCO	ORLANDO INTL
KMCW	MASON CITY MUNICIPAL
KMCX	WHITE COUNTY ARPT
KMDD	MIDLAND AIRPARK
KMDH	SOUTHERN ILLINOIS
KMDQ	MADISON COUNTY EXECUTIVE ARPT/TOM SHARP JR FIELD
KMDT	HARRISBURG INTL
KMDW	CHICAGO MIDWAY INTL ARPT
KMEI	KEY FLD
KMEM	MEMPHIS INTL
KMER	CASTLE ARPT
KMEZ	MENA INTERMOUNTAIN MUNICIPAL ARPT
KMFD	MANSFIELD LAHM MUNICIPAL
KMFE	MC ALLEN MILLER INTL
KMFI	MARSHFIELD MUNICIPAL ARPT
KMFR	ROGUE VALLEY INTL - MEDFORD ARPT
KMGC	MICHIGAN CITY MUNICIPAL ARPT
KMGE	DOBBINS AIR RESERVE BASE
KMGJ	ORANGE COUNTY ARPT -NY
KMGM	MONTGOMERY REGIONAL ARPT
KMGN	HARBOR SPRINGS ARPT
KMGW	MORGANTOWN MUNICIPAL ARPT-WALTER L. BILL HART FIELD
KMGY	DAYTON-WRIGHT BROTHERS ARPT
KMHE	MITCHELL MUNICIPAL ARPT
KMHK	MANHATTAN REGIONAL
KMHR	SACRAMENTO MATHER ARPT
KMHT	MANCHESTER AIRPORT
KMHV	MOJAVE ARPT
KMIA	MIAMI INTL
KMIC	CRYSTAL ARPT
KMIE	DELAWARE COUNTY REGIONAL ARPT
KMIV	MILLVILLE MUNICIPAL ARPT
KMJX	ROBT J MILLER AIR PARK
KMKC	CHARLES B WHEELER DOWNTOWN ARPT
KMKE	GENERAL MITCHELL INTL
KMKG	MUSKEGON COUNTY ARPT
KMKL	MC KELLER -SIPES REGIONAL ARPT
KMKT	MANKATO REGIONAL ARPT
KMKY	MARCO ISLAND ARPT
KMLB	MELBOURNE INTL
KMLC	MC ALESTER REGIONAL ARPT
KMLE	MILLARD ARPT
KMLI	QUAD CITY ARPT
KMLJ	BALDWIN COUNTY ARPT
KMLS	FRANK WILEY FIELD ARPT
KMLU	MONROE REGIONAL ARPT
KMMI	MCMINN COUNTY ARPT
KMMK	MERIDEN MARKHAM MUNICIPAL ARPT
KMML	SOUTHWEST MINNESOTA REGNL ARPT-MARSHALL/RYAN FIELD
KMMU	MORRISTOWN MUNICIPAL ARPT
KMMV	MC MINNVILLE MUNICIPAL ARPT
KMNM	MENOMINEE-MARINETTE TWIN CO ARPT
KMOB	MOBILE REGIONAL
KMOD	MODESTO CITY-COUNTY ARPT-HARRY SHAM FIELD
KMOP	MT PLEASANT MUNICIPAL ARPT
KMOT	MINOT INTL AIRPORT
KMPV	EDWARD F KNAPP STATE ARPT
KMQB	MACOMB MUNICIPAL ARPT
KMQI	DARE COUNTY REGIONAL ARPT
KMQJ	INDIANAPOLIS REGIONAL ARPT
KMQS	CHESTER COUNTY G O CARLSON ARPT
KMQT	MARQUETTE COUNTY
KMQY	SMYRNA ARPT
KMRB	EASTERN WEST VIRGINIA REGIONAL ARPT
KMRC	MAURY COUNTY ARPT
KMRH	MICHAEL J SMITH FIELD ARPT
KMRY	MONTEREY PENINSULA
KMSL	NORTHWEST ALABAMA REGIONAL ARPT
KMSN	DANE COUNTY REGIONAL ARPT-TRUAX FLD
KMSO	MISSOULA INTL ARPT
KMSP	MINNEAPOLIS-ST PAUL INTL/WOLD-CHAMBERLAIN ARPT
KMSS	MASSENA INTL ARPT-RICHARDS FIELD
KMSV	SULLIVAN COUNTY INTL
KMSY	LOUIE ARMSTRONG NEW ORLEANS INTL ARPT
KMTC	SELFRIDGE AIR NATIONAL GUARD BASE
KMTH	THE FLORIDA KEYS MARATHON
KMTJ	MONTROSE REGIONAL ARPT
KMTN	MARTIN STATE ARPT
KMTO	COLES COUNTY MEMORIAL ARPT
KMTP	MONTAUK ARPT
KMTV	BLUE RIDGE ARPT
KMTW	MANITOWOC COUNTY ARPT
KMUI	MUIR ARMY AIRFIELD
KMVY	MARTHAS VINEYARD
KMWA	WILLIAMSON COUNTY REGIONAL
KMWC	LAWRENCE J TIMMERMAN ARPT
KMWH	GRANT COUNTY ARPT
KMWK	MOUNT AIRY/SURRY COUNTY ARPT
KMWL	MINERAL WELLS ARPT
KMYF	MONTGOMERY FIELD ARPT
KMYL	MC CALL MUNICIPAL ARPT
KMYR	MYRTLE BEACH INTL
KMYV	YUBA COUNTY ARPT
KMZJ	PINAL AIRPARK
KNEW	LAKEFRONT AIRPORT
KNFW	NAS JRB FORT WORTH
KNGP	CORPUS CHRISTI NAS/TRUAX FIELD
KNGU	NORFOLK NAVAL STATION
KNHK	PATUXENT RIVER NAS
KNIP	JACKSONVILLE NAS -TOWERS FIELD
KNKT	CHERRY POINT MARINE AIR CORPS AIR ST
KNQA	MILLINGTON REGIONAL JETPORT ARPT
KNTU	OCEANA NAVAL AIR STATION
KNUC	SAN CLEMENTE ISLAND NALF
KNUQ	MOFFETT FEDERAL AIRFIELD
KNVD	NEVADA MUNICIPAL ARPT
KNYG	QUANTICO MCAF/TURNER FIELD
KNYL	YUMA MCAS/YUMA INTL ARPT
KNZY	NORTH ISLAND NAS -HALSEY FIELD
KOAJ	ALBERT J ELLIS
KOAK	METRO OAKLAND INTL
KOAR	MARINA MUNICIPAL ARPT
KOBE	OKEECHOBEE COUNTY ARPT
KOBI	WOODBINE MUNICIPAL ARPT
KOCF	OCALA INTL ARPT-JIM TAYLOR FIELD
KOCW	WARREN FIELD ARPT
KODO	ODESSA-SCHLEMEYER FIELD ARPT
KOEO	L O SIMENSTAD MUNICIPAL ARPT
